short2-ContigCoA-KX349310_28	VIRSorter_short2-ContigCoA-KX349310_28
short2-ContigCoA-KX349310_30	VIRSorter_short2-ContigCoA-KX349310_30
short2-ContigCoA-KX349310_37	VIRSorter_short2-ContigCoA-KX349310_37
short2-ContigCoA-KX349310_39	VIRSorter_short2-ContigCoA-KX349310_39
short2-ContigCoA-KX349310_40	VIRSorter_short2-ContigCoA-KX349310_40
short2-ContigCoA-KX349310_43	VIRSorter_short2-ContigCoA-KX349310_43
short2-ContigCoA-KX349310_46	VIRSorter_short2-ContigCoA-KX349310_46
short2-ContigCoA-KX349310_48	VIRSorter_short2-ContigCoA-KX349310_48
short2-ContigCoA-KX349310_49	VIRSorter_short2-ContigCoA-KX349310_49
short2-ContigCoA-KX349310_51	VIRSorter_short2-ContigCoA-KX349310_51
